,SUT,A1-1,A1-2,A1-3,A1-4,A2-1,A3-1,A3-2,A4-1,B1-1,B1-2,Operations with Problem,B2-1,C1-1,C1-2,C1-3,C2-1,C2-2,D1-1,D1-2,In Host,D1-3,D3-1,D3-2,Paths,Operations,Body Operations,Parameters,Status Codes,Page Param
3275,assetcare-cloud-api_0,1,1,1,1,0,1,True,1,1,0,0,1,0,0,0,0,0,0,1,True,0,0,0,1,1,0,2,"{""200"": 1}","{""limit"": 1}"
3276,Dragon_Cave_Lineage_DB_1,6,6,6,6,1,3,True,1,10,3,3,2,0,0,0,2,0,0,6,True,0,0,0,6,10,2,15,"{""200"": 9, ""201"": 1, ""400"": 1, ""404"": 5}","{""offset"": 1, ""limit"": 1}"
3277,Configuration_API_1,5,10,9,10,0,10,False,0,20,0,10,20,0,0,0,10,0,0,0,True,0,0,0,10,20,10,86,"{""200"": 20, ""400"": 20, ""500"": 20, ""503"": 20, ""404"": 10}",{}
3278,Abbot_1,6,6,6,6,0,6,False,0,9,0,0,9,0,0,0,5,0,0,6,True,0,0,0,6,9,5,7,"{""200"": 9}",{}
3279,API_Hub_SMS_1,2,0,2,2,0,1,False,0,2,1,1,2,0,0,0,0,0,0,2,False,0,0,0,2,2,0,0,"{""200"": 2, ""500"": 2}",{}
3280,Magento_1,1,1,1,1,0,1,True,0,1,0,0,1,0,0,0,0,0,0,1,False,0,0,0,1,1,0,1,"{""200"": 1}",{}
3281,Airhost_Booking_Engine_API_v2,6,4,6,6,1,3,False,0,6,2,3,6,0,0,0,2,0,0,6,True,0,0,0,6,6,2,8,"{""200"": 6}",{}
3282,API_Dashboard_1,1,1,0,1,0,0,True,0,1,1,1,1,0,0,0,0,0,0,1,False,0,0,0,1,1,0,1,"{""200"": 1}",{}
3283,Documentação_API_Edições_de_disciplinas_1,6,6,6,6,3,3,True,0,10,0,6,10,0,0,0,2,0,0,6,True,0,0,0,6,10,2,11,"{""200"": 6, ""401"": 10, ""403"": 10, ""201"": 1, ""400"": 2, ""204"": 3}",{}
3284,Configuration_Service_1,1,1,0,1,0,0,True,0,1,0,1,1,0,0,0,1,0,0,0,True,0,0,0,1,1,1,3,"{""200"": 1, ""401"": 1, ""404"": 1, ""500"": 1}",{}
3285,WaterNeeds_DSS_Algorithms_2,7,4,7,7,0,6,True,0,9,0,1,9,0,0,0,3,0,0,7,False,0,0,0,7,9,3,3,"{""200"": 9, ""400"": 3, ""500"": 1}",{}
3286,Hot_Air_Restful_API_1,1,1,1,1,0,1,True,1,2,0,0,2,0,0,0,1,0,0,1,False,0,0,0,1,2,1,4,"{""200"": 1, ""400"": 2, ""201"": 1, ""409"": 1}","{""limit"": 1}"
3287,BudgetButler_API_documentation_0,1,1,1,1,0,0,True,0,1,1,1,1,0,0,0,1,0,0,1,True,0,0,0,1,1,1,1,"{""200"": 1, ""500"": 1}",{}
3288,Deal_Broker_Service_Api_1,8,8,0,8,0,8,True,0,16,0,0,16,0,0,0,8,0,0,0,True,0,0,0,8,16,8,20,"{""200"": 16, ""201"": 8, ""401"": 16, ""403"": 16, ""404"": 12, ""204"": 4}",{}
3289,Commerce_API_1,10,10,1,10,1,10,False,1,14,0,0,14,0,0,0,4,0,0,10,True,0,0,0,10,14,6,20,"{""200"": 9, ""201"": 5, ""404"": 3, ""400"": 1}","{""page_size"": 1}"
3290,OpenBank_API_Project_1,3,3,0,3,0,3,True,0,3,0,0,3,0,0,0,0,0,0,0,True,0,0,0,3,3,0,5,"{""200"": 3, ""401"": 3}",{}
3291,ChinesePod_API_0,50,50,50,50,0,10,True,4,50,31,40,50,0,0,0,0,0,0,50,False,0,0,0,50,50,21,77,"{""200"": 50}","{""page"": 4}"
3292,Ahsan_Herbal_Chicken_0,19,19,17,19,5,19,False,0,29,0,0,29,0,0,0,6,0,0,19,True,0,0,0,19,29,8,36,"{""201"": 8, ""401"": 28, ""500"": 28, ""200"": 21, ""404"": 11, ""400"": 5}",{}
3293,Avni_API_1,14,14,5,14,0,14,True,0,22,0,0,22,0,0,0,9,0,0,14,True,0,0,0,14,22,9,60,"{""200"": 22, ""400"": 13, ""404"": 4}",{}
3294,Annotation_1,3,3,3,3,0,3,True,0,4,0,0,4,0,0,0,2,0,0,3,False,0,0,0,3,4,2,5,"{""200"": 4, ""400"": 4}",{}
3295,Solvethemind_Analyzer_API_1,6,6,6,6,2,6,False,0,8,0,0,8,0,0,0,8,0,0,0,True,0,0,0,6,8,8,8,"{""200"": 8}",{}
3296,CRM_One_Invoicing_v1,5,5,5,5,0,3,False,0,5,1,2,5,0,0,0,2,0,0,5,True,0,0,0,5,5,2,7,"{""200"": 5, ""400"": 5}",{}
3297,API_Webhooks_-_Controle_de_Atendimento_1,5,0,5,5,0,5,True,0,5,0,0,5,0,0,0,5,0,0,5,True,0,0,0,5,5,5,9,"{""200"": 5, ""400"": 5}",{}
3298,Simple_Inventory_API_v1_1,1,1,1,1,0,1,False,1,2,0,0,2,0,0,0,1,0,0,1,True,0,0,0,1,2,1,4,"{""200"": 1, ""400"": 2, ""201"": 1, ""409"": 1}","{""limit"": 1}"
3299,automower-api_1,11,11,8,11,5,10,True,0,11,1,1,11,0,0,0,0,0,0,11,True,0,0,0,11,11,0,0,"{""200"": 11}",{}
3300,Branch_API_1,1,1,1,1,0,0,True,0,1,1,1,1,0,0,0,0,0,0,1,True,0,0,0,1,1,0,1,"{""200"": 1, ""400"": 1}",{}
3301,DASA_-_Administrador_de_Landing_Pages_1,2,2,2,2,0,2,True,0,2,0,0,2,0,0,0,1,0,0,2,True,0,0,0,2,2,1,1,"{""201"": 2, ""401"": 2}",{}
3302,CoinMarketCap_Json_Api_v8,4,4,4,0,0,4,True,1,4,0,0,4,0,0,0,0,0,0,4,False,0,0,0,4,4,0,7,"{""200"": 4, ""400"": 1}","{""page"": 1}"
