,SUT,A1-1,A1-2,A1-3,A1-4,A2-1,A3-1,A3-2,A4-1,B1-1,B1-2,Operations with Problem,B2-1,C1-1,C1-2,C1-3,C2-1,C2-2,D1-1,D1-2,In Host,D1-3,D3-1,D3-2,Paths,Operations,Body Operations,Parameters,Status Codes,Page Param
750,azure_resources-policyDefinitions_2018-03-01,6,6,0,6,0,6,True,0,10,0,0,10,0,0,0,2,0,0,6,False,0,0,0,6,10,2,27,"{""200"": 8, ""201"": 2, ""204"": 2}",{}
751,apisetu_bsehr_3_0_0,2,2,2,2,0,2,False,0,2,0,0,2,0,0,0,2,0,0,2,True,0,0,0,2,2,2,2,"{""200"": 2, ""400"": 2, ""401"": 2, ""404"": 2, ""500"": 2, ""502"": 2, ""503"": 2, ""504"": 2}",{}
752,trakt_1_0_0,170,136,170,170,77,66,False,0,183,70,109,180,0,0,0,35,0,0,170,False,0,0,0,170,183,35,652,"{""200"": 155, ""201"": 15, ""409"": 2, ""204"": 14, ""401"": 1}",{}
753,azure_monitor-metrics_API_2016-09-01,1,1,0,1,0,1,True,0,1,0,0,0,0,0,0,0,0,0,1,False,0,0,0,1,1,0,3,"{""200"": 1}",{}
754,wmata_rail-station_1_0,16,16,0,16,0,16,False,0,16,0,0,16,0,0,0,0,0,0,16,False,0,0,0,16,16,0,22,"{""200"": 16}",{}
755,apisetu_scvtup_3_0_0,2,2,2,2,0,2,False,0,2,0,0,2,0,0,0,2,0,0,2,True,0,0,0,2,2,2,2,"{""200"": 2, ""400"": 2, ""401"": 2, ""404"": 2, ""500"": 2, ""502"": 2, ""503"": 2, ""504"": 2}",{}
756,azure_applicationinsights-componentContinuousExport_API_2015-05-01,2,2,0,2,0,2,True,0,5,0,0,5,0,0,0,2,0,0,2,False,0,0,0,2,5,2,25,"{""200"": 5}",{}
757,apisetu_gmch_3_0_0,1,1,1,1,0,1,False,0,1,0,0,1,0,0,0,1,0,0,1,True,0,0,0,1,1,1,1,"{""200"": 1, ""400"": 1, ""401"": 1, ""404"": 1, ""500"": 1, ""502"": 1, ""503"": 1, ""504"": 1}",{}
758,azure_resources-locks_2015-01-01,6,6,0,6,0,6,True,0,11,0,0,11,0,0,0,3,0,0,6,False,0,0,0,6,11,3,55,"{""200"": 11, ""201"": 3, ""204"": 3}",{}
759,haloapi_stats_1_0,28,28,13,28,7,23,False,0,28,3,5,28,0,0,0,0,0,0,28,False,0,0,0,28,28,0,46,"{""200"": 28, ""404"": 26, ""500"": 28, ""503"": 27, ""400"": 2}",{}
760,nytimes_semantic_api_2_0_0,2,2,2,0,0,1,False,1,2,1,1,2,0,0,0,0,0,0,2,True,0,0,0,2,2,0,7,"{""200"": 2}","{""offset"": 1}"
761,ideaconsult_enanomapper_4_0_0,12,12,11,12,0,12,False,10,13,0,0,11,0,0,0,1,0,0,12,False,0,0,0,12,13,1,92,"{""200"": 13, ""404"": 13, ""400"": 2, ""401"": 2, ""403"": 2, ""409"": 2, ""415"": 2, ""500"": 2, ""503"": 2}","{""page"": 10, ""pagesize"": 10}"
762,intel_product-catalogue_0_1_0,4,4,4,4,0,0,False,1,4,4,4,4,0,0,0,0,0,0,4,False,0,0,0,4,4,0,14,"{""200"": 4, ""500"": 4}","{""per_page"": 1}"
763,vtex_GiftCard-Hub-API_1_0,11,10,1,11,0,9,True,0,15,0,3,15,0,15,0,6,0,0,11,False,0,0,0,11,15,6,95,"{""200"": 15, ""404"": 2}",{}
764,azure_azsadmin-LoadBalancers_2015-06-15,1,1,0,1,0,1,True,0,1,0,0,1,0,0,0,0,0,0,1,False,0,0,0,1,1,0,7,"{""200"": 1}",{}
765,azure_applicationinsights-QueryPackQueries_API_2019-09-01-preview,3,3,0,3,0,2,True,0,5,0,1,0,0,0,0,2,0,0,3,False,0,0,0,3,5,2,31,"{""200"": 5, ""204"": 1}",{}
766,azure_sql-ManagedInstanceVulnerabilityAssessments_2018-06-01-preview,2,2,0,2,0,2,True,0,4,0,0,0,0,0,0,1,0,0,2,False,0,0,0,2,4,1,20,"{""200"": 4, ""201"": 1}",{}
767,azure_streamanalytics-inputs_2016-03-01,3,3,0,3,0,0,True,0,6,1,6,6,0,0,0,3,0,0,3,False,0,0,3,3,6,3,36,"{""200"": 6, ""201"": 1, ""204"": 1, ""202"": 1}",{}
768,ebay_sell-analytics_1_2_0,4,0,4,4,0,4,False,0,4,0,0,4,0,0,0,0,0,0,4,False,0,0,0,4,4,0,9,"{""200"": 4, ""400"": 4, ""404"": 2, ""409"": 1, ""500"": 4, ""204"": 1}",{}
